career_id,career_name,domain,difficulty_level,job_description,,skills
1,3D Animator,Computer Graphics & Animation,Intermediate,Creates animated characters objects and scenes for movies games advertisements and digital media using specialized 3D animation software.,,"""Blender,,OpenGL,,Three.js"""
2,3D Artist,Computer Graphics & Animation,Intermediate,Designs and builds digital 3D models textures and environments that are used in games films simulations and virtual experiences.,,"""Blender,,OpenGL"""
3,3D Character Artist,Computer Graphics & Animation,Intermediate,Specializes in creating detailed digital characters including their shapes textures and clothing for games movies and animation projects.,,"""Blender,,OpenGL"""
4,3D Environment Artist,Computer Graphics & Animation,Intermediate,Designs immersive virtual environments landscapes and digital worlds used in video games films and interactive media.,,"""Blender,,OpenGL"""
5,3D Modeling Artist,Computer Graphics & Animation,Beginner,Creates accurate digital 3D models of objects characters or environments that are later used in animation gaming and visual effects.,,"""Blender,,OpenGL"""
6,AI Engineer,Artificial Intelligence,Advanced,Develops intelligent systems and machine learning models that allow computers to analyze data learn patterns and automate complex tasks.,,"""Python,,TensorFlow,,PyTorch,,Scikit-learn"""
7,AI Ethics Engineer,Artificial Intelligence,Advanced,Ensures artificial intelligence systems are designed responsibly by addressing fairness transparency privacy and ethical implications.,,"""Python,,TensorFlow"""
8,AI Product Engineer,Artificial Intelligence,Advanced,Builds real world products powered by artificial intelligence by integrating machine learning models into software applications.,,"""Python,,TensorFlow,,React"""
9,AI Research Scientist,Artificial Intelligence,Advanced,Conducts advanced research to develop new algorithms techniques and technologies in artificial intelligence.,,"""Python,,TensorFlow,,PyTorch"""
10,AI Solutions Architect,Artificial Intelligence,Advanced,Designs and plans large scale artificial intelligence systems and architectures used by companies to solve complex problems.,,"""Python,,AWS,,Docker"""
11,AI Systems Engineer,Artificial Intelligence,Advanced,Builds reliable AI infrastructure pipelines and systems that allow machine learning models to run efficiently in production environments.,,"""Python,,TensorFlow,,Docker"""
12,Analytics Engineer,Data Science & Analytics,Intermediate,Designs systems that collect process and analyze large volumes of data to generate useful insights for organizations.,,"""Python,,SQL,,Apache Spark"""
13,API Developer,Software Development,Intermediate,Develops application programming interfaces that allow different software systems to communicate and exchange information efficiently.,,"""Node.js,,Express.js,,JavaScript"""
14,AR Developer,XR / Metaverse,Advanced,Creates augmented reality experiences that overlay digital content onto the real world using mobile devices or smart glasses.,,"""Unity,,OpenGL"""
15,Artificial General Intelligence Researcher,Artificial Intelligence,Advanced,Researches and develops next generation artificial intelligence systems that aim to achieve general human like intelligence.,,"""Python,,TensorFlow"""
16,Autonomous Systems Engineer,Robotics & Autonomous Systems,Advanced,Develops intelligent machines and robotic systems capable of performing tasks autonomously with minimal human intervention.,,"""Python,,ROS"""
17,Autonomous Vehicle Engineer,Robotics & Autonomous Systems,Advanced,Designs software systems for self driving vehicles enabling them to navigate understand surroundings and make driving decisions.,,"""Python,,ROS"""
18,Backend Developer,Software Development,Intermediate,Develops the server side logic databases and APIs that power web applications and software systems.,,"""Node.js,,Express.js,,PostgreSQL"""
19,Big Data Engineer,Data Science & Analytics,Advanced,Builds large scale data processing systems capable of handling massive datasets efficiently using distributed computing technologies.,,"""Hadoop,,Apache Spark"""
20,Blockchain Developer,Blockchain & Web3,Intermediate,Develops blockchain based applications and decentralized platforms that run on distributed networks without centralized control.,,"""Solidity,,Web3.js,,Truffle"""
21,Blockchain Security Engineer,Blockchain & Web3,Advanced,Designs secure blockchain systems and ensures smart contracts and decentralized platforms are protected from vulnerabilities.,,"""Solidity,,Web3.js,,Security"""
22,Cloud Architect,Cloud & DevOps,Advanced,Designs cloud computing architectures that allow organizations to run applications reliably at large scale.,,"""AWS,,Docker,,Kubernetes"""
23,Cloud Engineer,Cloud & DevOps,Intermediate,Develops manages and maintains cloud infrastructure used to deploy scalable software systems and services.,,"""AWS,,Docker"""
24,Cloud Infrastructure Engineer,Cloud & DevOps,Intermediate,Builds cloud infrastructure platforms that support application deployment storage networking and computing resources.,,"""AWS,,Kubernetes"""
25,Cloud Network Architect,Cloud & DevOps,Advanced,Designs large scale cloud network systems that enable secure and efficient communication between cloud services.,,"""AWS,,Networking"""
26,Cloud Platform Engineer,Cloud & DevOps,Intermediate,Develops platforms and systems that allow developers to build deploy and manage applications in cloud environments.,,"""AWS,,Docker,,Kubernetes"""
27,Cloud Security Engineer,Cloud & DevOps,Advanced,Designs and implements security measures to protect cloud infrastructure applications and data from cyber threats.,,"""AWS,,Security"""
28,Cloud Solutions Engineer,Cloud & DevOps,Intermediate,Helps organizations design and deploy effective cloud solutions tailored to their technical and business needs.,,"""AWS,,Docker"""
29,Cognitive Computing Engineer,Artificial Intelligence,Advanced,Develops intelligent computing systems that simulate human thought processes such as reasoning learning and problem solving.,,"""Python,,AI"""
30,Computer Vision Engineer,Artificial Intelligence,Advanced,Builds computer vision systems that allow machines to understand analyze and interpret images and video data.,,"""Python,,OpenCV"""
31,Conversational AI Developer,Artificial Intelligence,Intermediate,Creates AI powered conversational systems such as chatbots and virtual assistants that interact naturally with users.,,"""Python,,NLP"""
32,Cybersecurity Analyst,Cybersecurity,Intermediate,Monitors and protects computer systems networks and data from cyber attacks and security breaches.,,"""Kali Linux,,Wireshark,,Nmap"""
33,Data Architect,Data Science & Analytics,Advanced,Designs the structure architecture and management systems used to store organize and process large volumes of data.,,"""SQL,,AWS"""
34,Data Engineer,Data Science & Analytics,Intermediate,Develops systems and pipelines that collect process transform and store large datasets for analytics and machine learning.,,"""Python,,SQL,,Apache Spark"""
35,Data Mining Specialist,Data Science & Analytics,Intermediate,Applies statistical and machine learning techniques to discover useful patterns insights and trends from data.,,"""Python,,Data Analysis"""
36,Data Scientist,Data Science & Analytics,Advanced,Analyzes complex datasets and builds predictive models that help organizations make data driven decisions.,,"""Python,,TensorFlow,,SQL"""
37,Decentralized Application Developer,Blockchain & Web3,Intermediate,Builds decentralized applications that operate on blockchain networks without relying on centralized servers.,,"""Solidity,,Web3.js"""
38,Deep Learning Engineer,Artificial Intelligence,Advanced,Develops deep learning models that solve complex problems such as image recognition speech processing and natural language understanding.,,"""Python,,TensorFlow"""
39,DevOps Engineer,Cloud & DevOps,Intermediate,Automates software development workflows including testing deployment monitoring and infrastructure management.,,"""Docker,,Kubernetes,,Jenkins"""
40,Digital Forensics Specialist,Cybersecurity,Advanced,Investigates cybercrime by analyzing digital evidence from computers networks and storage devices.,,"""Kali Linux,,Wireshark"""
41,Distributed Systems Engineer,Systems & Infrastructure,Advanced,Designs distributed computing systems that allow applications to run efficiently across multiple servers.,,"""Distributed Systems,,AWS"""
42,Edge Computing Engineer,Cloud & DevOps,Advanced,Builds systems that process and analyze data close to where it is generated such as sensors and edge devices.,,"""Edge Computing,,IoT"""
43,Embedded Systems Engineer,IoT & Embedded Systems,Advanced,Develops embedded software for hardware devices such as sensors smart appliances robotics and industrial equipment.,,"""C,,Embedded Systems"""
44,Frontend Developer,Software Development,Beginner,Creates the visual and interactive elements of websites ensuring they are responsive user friendly and visually appealing.,,"""React,,JavaScript"""
45,Full Stack Developer,Software Development,Intermediate,Develops complete web applications including both front end user interfaces and back end server logic.,,"""React,,Node.js,,JavaScript"""
46,Game Developer,Computer Graphics & Animation,Intermediate,Designs develops and programs video games including gameplay mechanics user interaction and game environments.,,"""Unity,,C#"""
47,Game Engine Developer,Computer Graphics & Animation,Advanced,Builds and maintains game engines which are platforms used by developers to create video games.,,"""Unity,,C++"""
48,Game Engine Programmer,Computer Graphics & Animation,Advanced,Develops core engine level code that powers graphics physics and rendering systems inside game engines.,,"""Unity,,C++"""
49,Graphics Programmer,Computer Graphics & Animation,Advanced,Develops advanced graphics algorithms and rendering techniques used in games simulations and visual software.,,"""OpenGL,,C++"""
50,High Performance Computing Engineer,Systems & Infrastructure,Advanced,Designs software that performs extremely high speed computations used in scientific research simulations and complex calculations.,,"""C++,,Parallel Computing"""
51,Human-Centered AI Engineer,Artificial Intelligence,Advanced,Designs AI systems that prioritize human needs usability and ethical considerations when interacting with intelligent technology.,,"""Python,,AI"""
52,Immersive Systems Engineer,XR / Metaverse,Advanced,Develops immersive digital environments used in augmented reality virtual reality and interactive simulations.,,"""Unity,,VR"""
53,Information Security Analyst,Cybersecurity,Intermediate,Analyzes security risks and protects computer systems networks and data from cyber threats.,,"""Security,,Networking"""
54,Infrastructure Engineer,Cloud & DevOps,Intermediate,Designs manages and maintains infrastructure systems that support applications servers and enterprise networks.,,"""AWS,,Docker"""
55,Intelligent Systems Engineer,Artificial Intelligence,Advanced,Develops intelligent computing systems capable of performing complex tasks using artificial intelligence techniques.,,"""Python,,AI"""
56,Interaction Designer,Human Computer Interaction,Beginner,Designs interactive digital experiences focusing on usability accessibility and user satisfaction.,,"""UX Design"""
57,IoT Engineer,IoT & Embedded Systems,Intermediate,Develops systems that connect smart devices sensors and machines to communicate and exchange data over networks.,,"""Arduino,,Raspberry Pi"""
58,Machine Learning Engineer,Artificial Intelligence,Advanced,Builds machine learning models that allow systems to learn from data and make predictions or automated decisions.,,"""Python,,TensorFlow"""
59,Malware Analyst,Cybersecurity,Advanced,Analyzes malicious software to understand how cyber attacks work and develop defenses against them.,,"""Kali Linux,,Malware"""
60,Metaverse Developer,XR / Metaverse,Advanced,Builds immersive virtual worlds and digital environments for metaverse platforms and virtual experiences.,,"""Unity,,VR"""
61,Mobile Application Developer,Software Development,Beginner,Develops applications for smartphones tablets and mobile devices across various operating systems.,,"""Flutter,,React Native"""
62,Natural Language Processing Engineer,Artificial Intelligence,Advanced,Develops systems that allow computers to understand interpret and generate human language.,,"""Python,,NLP"""
63,Network Engineer,Networking,Intermediate,Designs maintains and manages computer networks ensuring reliable communication between devices and systems.,,"""Networking"""
64,Network Security Engineer,Cybersecurity,Advanced,Protects network infrastructure from cyber threats by implementing security protocols monitoring and defense mechanisms.,,"""Security,,Networking"""
65,Operating Systems Engineer,Systems & Infrastructure,Advanced,Designs and develops operating systems that manage hardware resources and support software applications.,,"""C,,Operating Systems"""
66,Penetration Tester (Ethical Hacker),Cybersecurity,Intermediate,Identifies security vulnerabilities in systems networks and applications by performing ethical hacking and penetration testing.,,"""Kali Linux,,Nmap"""
67,Platform Engineer,Cloud & DevOps,Advanced,Builds internal development platforms that help engineering teams develop deploy and manage applications efficiently.,,"""Docker,,Kubernetes"""
68,QA Engineer,Testing & QA,Beginner,Ensures software quality by designing test plans identifying bugs and validating system performance.,,"""Testing,,Automation"""
69,Quantum Algorithm Developer,Quantum Computing,Advanced,Develops algorithms optimized for quantum computers capable of solving problems beyond classical computing.,,"""Quantum Computing"""
70,Quantum Computing Research Scientist,Quantum Computing,Advanced,Conducts research to advance the development of quantum computing technologies and applications.,,"""Quantum Computing"""
71,Quantum Cryptography Engineer,Quantum Computing,Advanced,Develops secure communication systems using quantum cryptography techniques.,,"""Quantum Computing"""
72,Quantum Machine Learning Engineer,Quantum Computing,Advanced,Combines quantum computing with machine learning techniques to develop advanced computational models.,,"""Quantum Computing"""
73,Quantum Software Engineer,Quantum Computing,Advanced,Develops software tools frameworks and applications designed to run on quantum computers.,,"""Quantum Computing"""
74,Quantum Systems Engineer,Quantum Computing,Advanced,Designs hardware and software systems used in quantum computing environments.,,"""Quantum Computing"""
75,Reinforcement Learning Engineer,Artificial Intelligence,Advanced,Builds reinforcement learning systems where machines learn optimal actions through trial and feedback.,,"""Python,,Reinforcement Learning"""
76,Rendering Engineer,Computer Graphics & Animation,Advanced,Develops rendering systems that convert digital models scenes and lighting into realistic visual images.,,"""OpenGL"""
77,Robotics AI Engineer,Robotics & Autonomous Systems,Advanced,Designs intelligent robotic systems that combine artificial intelligence with mechanical control.,,"""Python,,ROS"""
78,Robotics Software Engineer,Robotics & Autonomous Systems,Advanced,Develops software that controls robotic machines enabling them to perform tasks autonomously or semi autonomously.,,"""Python,,ROS"""
79,Security Architect,Cybersecurity,Advanced,Designs secure system architectures that protect organizations against cyber threats and vulnerabilities.,,"""Security,,Architecture"""
80,Security Engineer,Cybersecurity,Intermediate,Implements security technologies policies and tools that safeguard systems applications and data.,,"""Security"""
81,Sensor Systems Engineer,IoT & Embedded Systems,Advanced,Develops sensor based systems used in robotics automation and smart devices.,,"""Embedded Systems"""
82,Shader Developer,Computer Graphics & Animation,Advanced,Creates shader programs that control lighting textures and visual effects in computer graphics.,,"""Graphics Programming"""
83,Simulation Engineer,Computer Graphics & Animation,Advanced,Develops simulation software used for training testing scientific experiments and engineering analysis.,,"""Simulation"""
84,Site Reliability Engineer,Cloud & DevOps,Advanced,Ensures that large scale software systems remain reliable scalable and highly available.,,"""Docker,,Kubernetes"""
85,Smart Contract Engineer,Blockchain & Web3,Intermediate,Develops smart contracts which are self executing agreements running on blockchain platforms.,,"""Solidity,,Smart Contracts"""
86,Software Architect,Software Development,Advanced,Designs the overall architecture of software systems ensuring scalability maintainability and reliability.,,"""System Design"""
87,Software Developer,Software Development,Beginner,Builds software applications that solve real world problems using programming languages and development tools.,,"""Java,,Python"""
88,Software Engineer,Software Development,Intermediate,Develops and maintains software systems ensuring functionality performance and maintainability.,,"""Java,,Python"""
89,Software Test Engineer,Testing & QA,Beginner,Tests software applications to identify bugs verify functionality and ensure quality standards.,,"""Testing"""
90,System Reliability Engineer,Systems & Infrastructure,Advanced,Designs systems that monitor maintain and improve reliability of large scale infrastructure platforms.,,"""System Design"""
91,Systems Administrator,Systems & Infrastructure,Intermediate,Manages computer systems servers networks and IT infrastructure within organizations.,,"""Linux"""
92,Systems Architect,Systems & Infrastructure,Advanced,Designs high level technology architectures that guide the development of large complex systems.,,"""System Design"""
93,Technical Artist,Computer Graphics & Animation,Intermediate,Bridges the gap between artists and developers by integrating artistic assets into software systems.,,"""Blender"""
94,Test Automation Engineer,Testing & QA,Intermediate,Develops automated testing systems that verify software functionality during development pipelines.,,"""Automation Testing"""
95,Threat Intelligence Analyst,Cybersecurity,Advanced,Analyzes cyber threats and intelligence data to detect and prevent potential security attacks.,,"""Security"""
96,UI Engineer,Human Computer Interaction,Beginner,Develops user interface components that allow users to interact effectively with digital systems.,,"""React"""
97,UX Engineer,Human Computer Interaction,Beginner,Designs user experiences that make digital products intuitive accessible and enjoyable to use.,,"""UX Design"""
98,VFX Technical Director,Computer Graphics & Animation,Advanced,Leads technical teams responsible for visual effects production in films games and digital media.,,"""VFX,,Blender"""
99,VR Developer,XR / Metaverse,Advanced,Develops immersive virtual reality applications used for entertainment education and simulations.,,"""Unity,,VR"""
100,Web Developer,Software Development,Beginner,Designs and develops websites and web applications accessible through internet browsers.,,"""HTML,,CSS,,JavaScript"""
101,Web3 Developer,Blockchain & Web3,Intermediate,Builds decentralized web applications that operate on blockchain based web3 technologies.,,"""Web3.js,,Solidity"""
102,XR Developer,XR / Metaverse,Advanced,Develops applications for extended reality environments including augmented virtual and mixed reality.,,"""WebXR,,Unity"""
103,Zero Trust Security Engineer,Cybersecurity,Advanced,Designs security architectures based on zero trust principles where every system interaction is verified.,,"""Security,,Zero Trust"""
