job_title,skills
Data Scientist,"python,sql,machine learning,statistics"
AI Engineer,"python,deep learning,tensorflow"
Web Developer,"html,css,javascript,react"
Backend Developer,"nodejs,express,mongodb"
Cybersecurity Analyst,"network security,python,linux"
Cloud Engineer,"aws,docker,kubernetes"
Machine Learning Engineer,"python,ml,scikit-learn,pytorch"
Data Analyst,"sql,excel,powerbi,python"
Frontend Developer,"html,css,javascript,react,vue"
Full Stack Developer,"javascript,nodejs,react,mongodb"
DevOps Engineer,"docker,kubernetes,aws,linux,ci/cd"
Mobile App Developer,"flutter,android,ios,dart"
Android Developer,"kotlin,java,android sdk"
iOS Developer,"swift,ios,xcode"
Blockchain Developer,"solidity,ethereum,web3"
Game Developer,"unity,c#,game design"
Software Engineer,"java,python,data structures,algorithms"
Site Reliability Engineer,"linux,kubernetes,monitoring,automation"
Database Administrator,"mysql,postgresql,performance tuning"
Big Data Engineer,"hadoop,spark,scala,python"
Business Intelligence Developer,"sql,powerbi,tableau,data modeling"
AI Researcher,"deep learning,python,pytorch,nlp"
NLP Engineer,"python,nlp,transformers,spacy"
Computer Vision Engineer,"opencv,python,deep learning"
Embedded Systems Engineer,"c,c++,microcontrollers,rtos"
Data Scientist,"python,sql,machine learning,statistics,pandas"
Web Developer,"html,css,javascript,react,node.js,express"
AI Engineer,"python,deep learning,tensorflow,pytorch"
# additional roles can be added here as needed for the roadmap feature
# Example:
# Cloud Architect,"aws,azure,architecture,design,security"